word_count,character_count,average_word_length,sentence_count,average_sentence_length,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,difficult_words,difficult_word_ratio,grade,source
96,603,5.1875,5,19.2,35.65300000000002,12.95689361702128,14.75404255319149,13.968273953766033,30,0.3125,12.965,arxiv
275,1849,5.538181818181818,9,30.555555555555557,13.251811594202906,19.02942028985507,22.846376811594205,19.510067207911337,90,0.32727272727272727,18.85,arxiv
28,175,4.714285714285714,2,14.0,68.2960483870968,7.584032258064514,7.490322580645162,11.20814326018867,4,0.14285714285714285,8.2,wikipedia-en
332,1745,3.9909638554216866,50,6.64,90.21237673716013,2.3211051359516652,3.2522296072507553,5.808615515909546,21,0.06325301204819277,2.941538461538461,tinystories
76,452,4.7631578947368425,4,19.0,61.76315789473685,9.364736842105266,12.336842105263159,11.698219412168324,21,0.27631578947368424,10.975,wikipedia-en
105,673,5.2,5,21.0,8.99254545454545,16.923919191919193,21.657373737373742,18.669449996058646,31,0.29523809523809524,15.7,arxiv
50,308,5.1,3,16.666666666666668,46.954625850340165,10.76775510204082,13.063945578231293,13.5591,15,0.3,11.965,arxiv
127,868,5.68503937007874,5,25.4,11.345226890756322,17.58947899159664,21.28470588235294,18.458006810337128,44,0.3464566929133858,18.270000000000003,arxiv
192,1151,4.619791666666667,15,12.8,55.42790909090911,8.807494949494949,11.542626262626264,11.855464076750408,35,0.18229166666666666,7.855,fineweb-edu
96,650,5.666666666666667,4,24.0,24.952379032258108,15.554919354838713,20.052688172043013,17.693802365651003,38,0.3958333333333333,17.1625,arxiv
117,599,3.8119658119658117,14,8.357142857142858,89.4805263157895,2.8015037593984964,3.9588972431077694,5.288315135182226,10,0.08547008547008547,2.973076923076923,tinystories
169,899,3.8402366863905324,15,11.266666666666667,89.88505263157896,3.5542456140350893,5.027836257309942,5.683917801722854,16,0.09467455621301775,4.43,tinystories
262,1439,4.416030534351145,16,16.375,77.19910782442751,6.559608778625954,8.534732824427481,8.660442795831768,25,0.09541984732824428,8.030000000000001,fineweb-edu
102,631,4.970588235294118,5,20.4,39.722631578947386,12.438947368421054,17.705263157894738,15.6451,32,0.3137254901960784,14.405,arxiv
93,650,5.806451612903226,4,23.25,9.157499999999999,17.57166666666667,22.333333333333336,19.032712561301913,32,0.34408602150537637,18.225,arxiv
246,1269,3.8495934959349594,33,7.454545454545454,96.61315426997248,1.6055371900826465,2.9333333333333336,4.535480913098323,5,0.02032520325203252,2.825,tinystories
217,1133,3.9170506912442398,21,10.333333333333334,83.48214285714288,4.099523809523809,5.523809523809525,6.868970318607317,16,0.07373271889400922,4.465,tinystories
212,1237,4.481132075471698,15,14.133333333333333,85.20200000000001,5.10177777777778,7.066666666666667,6.742157984588678,20,0.09433962264150944,7.065,fineweb-edu
83,568,5.795180722891566,4,20.75,8.725694444444457,17.07293209876543,20.939506172839508,17.693802365651003,33,0.39759036144578314,17.085,arxiv
